instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,winter,2011,January,no,Saturday,no,Mist + Broken clouds,8.692971012163184,8.652146998318774,80.58330000000001,10.749882,331,654,985
2,2011-01-02,winter,2011,January,no,Sunday,no,Mist + Broken clouds,9.823906348944092,7.795684161115972,69.6087,16.652113,131,670,801
3,2011-01-03,winter,2011,January,no,Monday,yes,Few clouds,0.03699071170087542,-6.441212853742009,43.7273,16.636703,120,1229,1349
4,2011-01-04,winter,2011,January,no,Tuesday,yes,Clear,0.2499305327632424,-4.473150313509743,59.0435,10.739832,108,1454,1562
5,2011-01-05,winter,2011,January,no,Wednesday,yes,Partly cloudy,1.8286485625702316,-2.9875520197252268,43.695699999999995,12.522300000000001,82,1518,1600
6,2011-01-06,winter,2011,January,no,Thursday,yes,Clear,0.5045681405682938,-2.6463010470626926,51.8261,6.0008684,88,1518,1606
7,2011-01-07,winter,2011,January,no,Friday,yes,Mist,0.04624387224209059,-4.7575694410170115,49.8696,11.304642,148,1362,1510
8,2011-01-08,winter,2011,January,no,Saturday,no,Mist,-1.799820220037316,-8.793410152234156,53.5833,17.875868,68,891,959
9,2011-01-09,winter,2011,January,no,Sunday,no,Partly cloudy,-3.361554600749672,-12.785414104840683,43.416700000000006,24.25065,54,768,822
10,2011-01-10,winter,2011,January,no,Monday,yes,Clear,-2.6295007604637597,-9.778091176677522,48.2917,14.958889,41,1280,1321
11,2011-01-11,winter,2011,January,no,Tuesday,yes,Mist,-1.5602336391885432,-6.262833632439097,68.6364,8.182844000000001,43,1220,1263
12,2011-01-12,winter,2011,January,no,Wednesday,yes,Partly cloudy,-1.3472938181261762,-8.947705146474314,59.954499999999996,20.410009,25,1137,1162
13,2011-01-13,winter,2011,January,no,Thursday,yes,Partly cloudy,-1.799820220037316,-9.77852434622901,47.0417,20.166999999999998,38,1368,1406
14,2011-01-14,winter,2011,January,no,Friday,yes,Few clouds,-2.0416908088677816,-6.527153692757301,53.7826,8.478716,54,1367,1421
15,2011-01-15,winter,2011,January,no,Saturday,no,Mist,2.2020545854232694,-1.3551958818964547,49.875,10.583521,222,1026,1248
16,2011-01-16,winter,2011,January,no,Sunday,no,Few clouds,2.104486449589965,-2.5589740654826354,48.375,12.625010999999999,251,953,1204
17,2011-01-17,winter,2011,January,yes,Monday,no,Mist + Few clouds,-1.165393079891933,-7.535745676442822,53.75,12.999139,117,883,1000
18,2011-01-18,winter,2011,January,no,Tuesday,yes,Mist,1.226021841246867,-2.7221923524834537,86.16669999999999,9.833924999999999,9,674,683
19,2011-01-19,winter,2011,January,no,Wednesday,yes,Mist + Few clouds,5.6480369867243425,3.0033561451795343,74.1739,13.957239,78,1572,1650
20,2011-01-20,winter,2011,January,no,Thursday,yes,Mist + Broken clouds,3.861415666276155,-0.7541298122511915,53.833299999999994,13.125568,83,1844,1927
21,2011-01-21,winter,2011,January,no,Friday,yes,Partly cloudy,-1.0677663797514034,-9.176418669660174,45.7083,23.667214,75,1468,1543
22,2011-01-22,winter,2011,January,no,Saturday,no,Clear,-8.0,-16.0,40.0,11.52199,93,888,981
23,2011-01-23,winter,2011,January,no,Sunday,no,Clear,-5.810204419337386,-14.287290910370132,43.6522,16.5222,150,836,986
24,2011-01-24,winter,2011,January,no,Monday,yes,Clear,-5.759276897776376,-12.633371592268265,49.173899999999996,10.60811,86,1330,1416
25,2011-01-25,winter,2011,January,no,Tuesday,yes,Mist + Cloudy,1.6249033377418556,-2.5322041872006533,61.695699999999995,8.696332,186,1799,1985
26,2011-01-26,winter,2011,January,no,Wednesday,yes,Light Snow,1.2748059091635202,-5.211444497066523,86.25,19.68795,34,472,506
27,2011-01-27,winter,2011,January,no,Thursday,yes,Partly cloudy,-0.04289100335112295,-3.8166385412739707,68.75,7.627078999999999,15,416,431
28,2011-01-28,winter,2011,January,no,Friday,yes,Mist + Broken clouds,0.4536171932843942,-3.5032836877272864,79.30430000000001,8.2611,38,1129,1167
29,2011-01-29,winter,2011,January,no,Saturday,no,Clear,0.04624387224209059,-4.4728037778685525,65.17389999999999,9.739455,123,975,1098
30,2011-01-30,winter,2011,January,no,Sunday,no,Clear,1.2175300166995502,-1.1637349401385961,72.2174,4.956834199999999,140,956,1096
31,2011-01-31,winter,2011,January,no,Monday,yes,Mist + Broken clouds,-0.8725715437775667,-6.71454284073117,60.375,12.541864,42,1459,1501
32,2011-02-01,winter,2011,February,no,Tuesday,yes,Mist + Few clouds,-0.2083937355629617,-2.531857651559463,82.9565,3.565271,47,1313,1360
33,2011-02-02,winter,2011,February,no,Wednesday,yes,Mist + Broken clouds,3.7637889661356283,-0.8089690774696177,77.5417,17.708636,72,1454,1526
34,2011-02-03,winter,2011,February,no,Thursday,yes,Partly cloudy,-0.5139237263446912,-7.439841937743298,43.7826,18.609384,61,1489,1550
35,2011-02-04,winter,2011,February,no,Friday,yes,Mist + Few clouds,0.9119414616105974,-3.0467229804585383,58.521699999999996,8.565213,88,1620,1708
36,2011-02-05,winter,2011,February,no,Saturday,no,Mist,2.2020545854232694,-1.7930436645408996,92.91669999999999,10.792293,100,905,1005
37,2011-02-06,winter,2011,February,no,Sunday,no,Partly cloudy,5.276680714624106,2.418490616759936,56.833299999999994,9.5006,354,1269,1623
38,2011-02-07,winter,2011,February,no,Monday,yes,Few clouds,4.447058738504886,3.45697129949815,73.83330000000001,3.0423561,120,1592,1712
39,2011-02-08,winter,2011,February,no,Tuesday,yes,Clear,1.4700007451373551,-5.675282452800269,53.7917,24.25065,64,1466,1530
40,2011-02-09,winter,2011,February,no,Wednesday,yes,Mist + Few clouds,-3.569457891390873,-10.350308154193659,49.4783,12.652213,53,1552,1605
41,2011-02-10,winter,2011,February,no,Thursday,yes,Partly cloudy,-3.0092902928040903,-9.894180616476406,43.7391,14.869645,47,1491,1538
42,2011-02-11,winter,2011,February,no,Friday,yes,Partly cloudy,-0.38894749473108003,-4.352989079926871,50.6364,7.272849999999999,149,1597,1746
43,2011-02-12,winter,2011,February,no,Saturday,no,Clear,1.5676274452778856,-2.668392694188599,54.4167,13.625589,288,1184,1472
44,2011-02-13,winter,2011,February,no,Sunday,no,Partly cloudy,7.073960738986862,5.229067934637076,45.7391,17.479160999999998,397,1192,1589
45,2011-02-14,winter,2011,February,no,Monday,yes,Partly cloudy,12.841256585680952,11.66050953340551,37.583299999999994,27.999836,208,1705,1913
46,2011-02-15,winter,2011,February,no,Tuesday,yes,Partly cloudy,4.1202699042012565,-0.8213577266421872,31.434800000000003,19.522058,140,1675,1815
47,2011-02-16,winter,2011,February,no,Wednesday,yes,Few clouds,7.175804069247434,4.543533802451581,42.3478,16.869996999999998,218,1897,2115
48,2011-02-17,winter,2011,February,no,Thursday,yes,Few clouds,14.061326798055067,14.286210086707417,50.5,15.416968,259,2216,2475
49,2011-02-18,winter,2011,February,no,Friday,yes,Partly cloudy,19.088135544223153,21.50498066226111,51.6667,17.749975000000003,579,2348,2927
50,2011-02-19,winter,2011,February,no,Saturday,no,Few clouds,11.914007909421205,11.058750392477862,18.7917,34.000021,532,1103,1635
51,2011-02-20,winter,2011,February,no,Sunday,no,Partly cloudy,5.2406051013748165,1.17607370918099,40.7826,14.956745,639,1173,1812
52,2011-02-21,winter,2011,February,yes,Monday,no,Mist + Cloudy,6.301556091024386,1.7604194341388002,60.5,20.625682,195,912,1107
53,2011-02-22,winter,2011,February,no,Tuesday,yes,Partly cloudy,-0.791225721044996,-6.733342399265766,57.7778,13.110761,74,1376,1450
54,2011-02-23,winter,2011,February,no,Wednesday,yes,Clear,1.5230600074812788,-1.5626840970593818,42.3043,6.3055710000000005,139,1778,1917
55,2011-02-24,winter,2011,February,no,Thursday,yes,Mist + Few clouds,5.851723647245498,2.2036385192216983,69.7391,16.783231999999998,100,1707,1807
56,2011-02-25,winter,2011,February,no,Friday,yes,Mist + Broken clouds,9.874857296227987,7.511698203160197,71.2174,23.218113,120,1341,1461
57,2011-02-26,winter,2011,February,no,Saturday,no,Few clouds,5.08148587865027,1.5972877810482764,53.7917,12.500257,424,1545,1969
58,2011-02-27,winter,2011,February,no,Sunday,no,Partly cloudy,8.652620204486627,7.567836977033085,68.0,8.391615999999999,694,1708,2402
59,2011-02-28,winter,2011,February,no,Monday,yes,Mist + Broken clouds,12.388730183769812,11.813678286811793,87.63640000000001,19.408962,81,1365,1446
60,2011-03-01,winter,2011,March,no,Tuesday,yes,Partly cloudy,4.154237202390522,0.010760981766971156,53.5,14.500475,137,1714,1851
61,2011-03-02,winter,2011,March,no,Wednesday,yes,Partly cloudy,8.15611200785111,4.878893669213877,44.9583,20.624811,231,1903,2134
62,2011-03-03,winter,2011,March,no,Thursday,yes,Few clouds,0.15230383262271197,-5.511804264068559,31.833299999999998,15.125518000000001,123,1562,1685
63,2011-03-04,winter,2011,March,no,Friday,yes,Mist + Few clouds,3.861415666276155,-0.6996370826739557,61.0417,13.624182,214,1730,1944
64,2011-03-05,winter,2011,March,no,Saturday,no,Mist + Cloudy,11.03554330107811,9.964997274969729,78.91669999999999,16.875357,640,1437,2077
65,2011-03-06,winter,2011,March,no,Sunday,no,Mist + Few clouds,10.587819172359243,8.879734280670768,94.8261,23.000229,114,491,605
66,2011-03-07,winter,2011,March,no,Monday,yes,Partly cloudy,3.8656322963962015,-2.1912997501793043,55.1304,22.870584,244,1628,1872
67,2011-03-08,winter,2011,March,no,Tuesday,yes,Clear,5.667128950879002,3.347985840343675,42.0833,8.083549999999999,316,1817,2133
68,2011-03-09,winter,2011,March,no,Wednesday,yes,Mist + Few clouds,5.862323786852839,1.9798631289228048,77.5417,14.750050000000002,191,1700,1891
69,2011-03-10,winter,2011,March,no,Thursday,yes,Light Snow,11.323913949843536,10.561818283010407,0.0,17.545759,46,577,623
70,2011-03-11,winter,2011,March,no,Friday,yes,Mist + Broken clouds,7.073960738986862,3.5732340071176303,64.95649999999999,15.60899,247,1730,1977
71,2011-03-12,winter,2011,March,no,Saturday,no,Few clouds,7.814506403820086,5.370887645794365,59.458299999999994,14.791924999999999,724,1408,2132
72,2011-03-13,winter,2011,March,no,Sunday,no,Clear,11.046143440685448,10.078660965280278,52.73910000000001,18.130468,982,1435,2417
73,2011-03-14,winter,2011,March,no,Monday,yes,Clear,7.5831773902897375,5.912349585154832,49.695699999999995,9.174042,359,1687,2046
